<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-notion">notion</span></div><br><div class="mot">Space Venture</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-notion">notion</span></div><br><div class="mot">L’aventure spatiale</div>;ANGLAIS::niveau::B2 ANGLAIS::type::notion ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">weight</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">le poids, la pesanteur</div>;ANGLAIS::niveau::A2 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">the orbit</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">l’orbite</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">docking</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">l’arrimage</div>;ANGLAIS::niveau::C1 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a stay in space</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">un séjour dans l’espace</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-verb">verb</span></div><br><div class="mot">to stay</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-verb">verb</span></div><br><div class="mot">séjourner</div>;ANGLAIS::niveau::A1 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a moon landing</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">un alunissage</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a moon walk</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">une sortie Lunaire</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">re-entry</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">l’entrée dans l'atmosphère</div>;ANGLAIS::niveau::C1 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a touchdown</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">un atterrissage</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a splashdown</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">un amerrissage</div>;ANGLAIS::niveau::C1 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a malfunction</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">un dysfonctionnement</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a breakdown</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">une panne</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-verb">verb</span></div><br><div class="mot">to count down</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-verb">verb</span></div><br><div class="mot">lancer le compte à rebours</div>;ANGLAIS::niveau::B1 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-verb">verb</span></div><br><div class="mot">to launch</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-verb">verb</span></div><br><div class="mot">lancer</div>;ANGLAIS::niveau::B1 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-verb">verb</span></div><br><div class="mot">to blast off</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-verb">verb</span></div><br><div class="mot">être mis à feu</div>;ANGLAIS::niveau::B2 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-irr-verb">irr. verb</span></div><br><div class="mot">to lift off, take off</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-irr-verb">irr. verb</span></div><br><div class="mot">décoller</div>;ANGLAIS::niveau::B1 ANGLAIS::type::irr-verb ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-verb">verb</span></div><br><div class="mot">to propel</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-verb">verb</span></div><br><div class="mot">propulser</div>;ANGLAIS::niveau::B2 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-verb">verb</span></div><br><div class="mot">to spacewalk</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-verb">verb</span></div><br><div class="mot">marcher dans l’espace</div>;ANGLAIS::niveau::B2 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-verb">verb</span></div><br><div class="mot">to dock (with)</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-verb">verb</span></div><br><div class="mot">s’arrimer à</div>;ANGLAIS::niveau::C1 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-verb">verb</span></div><br><div class="mot">to land (on a planet)</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-verb">verb</span></div><br><div class="mot">se poser (sur une planète)</div>;ANGLAIS::niveau::B1 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-verb">verb</span></div><br><div class="mot">to land on the moon</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-verb">verb</span></div><br><div class="mot">alunir</div>;ANGLAIS::niveau::B2 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-verb">verb</span></div><br><div class="mot">to touch down</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-verb">verb</span></div><br><div class="mot">toucher le sol</div>;ANGLAIS::niveau::B2 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-verb">verb</span></div><br><div class="mot">to splash down</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-verb">verb</span></div><br><div class="mot">amerrir</div>;ANGLAIS::niveau::C1 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-verb">verb</span></div><br><div class="mot">to splash</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-verb">verb</span></div><br><div class="mot">éclabousser</div>;ANGLAIS::niveau::B2 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-verb">verb</span></div><br><div class="mot">to abort (a launch)</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-verb">verb</span></div><br><div class="mot">interrompre (un lancement)</div>;ANGLAIS::niveau::B2 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-verb">verb</span></div><br><div class="mot">to postpone</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-verb">verb</span></div><br><div class="mot">ajourner, reporter</div>;ANGLAIS::niveau::B2 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-verb">verb</span></div><br><div class="mot">to cancel</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-verb">verb</span></div><br><div class="mot">supprimer, annuler</div>;ANGLAIS::niveau::A2 ANGLAIS::type::verb ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-adj">adj</span></div><br><div class="mot">malfunctionning</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-adj">adj</span></div><br><div class="mot">qui fonctionne mal, avarié</div>;ANGLAIS::niveau::B2 ANGLAIS::type::adj ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-adj">adj</span></div><br><div class="mot">uncharted</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-adj">adj</span></div><br><div class="mot">inexploré</div>;ANGLAIS::niveau::C1 ANGLAIS::type::adj ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">chart</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">une carte, un graphique</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-adj">adj</span></div><br><div class="mot">risky</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-adj">adj</span></div><br><div class="mot">risqué, hasardeux</div>;ANGLAIS::niveau::B1 ANGLAIS::type::adj ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-adj">adj</span></div><br><div class="mot">adventurous</div>;<div class="theme">Thème : Sciences-Tech--Health > Space > Space-Veenture</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-adj">adj</span></div><br><div class="mot">aventureux, audacieux</div>;ANGLAIS::niveau::B2 ANGLAIS::type::adj ANGLAIS::Sciences-Tech--Health::Space::Space-Veenture
